Listing price,Timestamp
299.99,2022-04-25
279.99,2022-04-25
399.99,2022-04-25
380.00,2022-04-25
475.00,2022-04-25
1199.99,2022-04-25
184.98,2022-04-25
159.99,2022-04-25
299.00,2022-04-25
475.00,2022-04-25
579.14,2022-04-25
180.99,2022-04-25
174.70,2022-04-25
190.00,2022-04-25
230.08,2022-04-25
297.48,2022-04-25
599.00,2022-04-25
299.98,2022-04-25
248.00,2022-04-25
1199.99,2022-04-25
201.60,2022-04-25
163.96,2022-04-25
749.99,2022-04-25
61.99,2022-04-25
36.99,2022-04-25
475.00,2022-04-25
579.14,2022-04-25
179.99,2022-04-25
134.99,2022-04-25
38.20,2022-04-25
188.47,2022-04-25
1399.00,2022-04-25
749.99,2022-04-25
329.00,2022-04-25
1199.99,2022-04-25
352.67,2022-04-25
323.59,2022-04-25
61.99,2022-04-25
36.99,2022-04-25
475.00,2022-04-25
579.14,2022-04-25
429.95,2022-04-25
279.00,2022-04-25
285.52,2022-04-25
749.99,2022-04-25
324.98,2022-04-25
105.00,2022-04-25
404.99,2022-04-25
1199.99,2022-04-25
215.99,2022-04-25
61.99,2022-04-25
36.99,2022-04-25
